Date	TestsPerfored
2020-11-12	66710463
2020-11-11	66118696
2020-11-10	65606582
2020-11-09	65209357
2020-11-08	64682511
2020-11-07	64092161
2020-11-06	63541298
2020-11-05	63016994
2020-11-04	62446013
2020-11-03	61954566
2020-11-02	61541970
2020-11-01	61029746
2020-10-31	60441811
2020-10-30	59866561
2020-10-29	59284119
2020-10-28	58730811
2020-10-27	58223852
2020-10-26	57821260
2020-10-25	57344952
2020-10-24	56794639
2020-10-23	56230544
2020-10-22	55683929
2020-10-21	55171784
2020-10-20	54675096
2020-10-19	54300208
2020-10-18	53850509
2020-10-17	53305957
2020-10-16	52782097
2020-10-15	52279734
2020-10-14	51801245
2020-10-13	51364269
2020-10-12	51191309
2020-10-11	50781349
2020-10-10	50305243
2020-10-09	49656873
2020-10-08	49148954
2020-10-07	48709857
2020-10-06	48337992
2020-10-05	48042343
2020-10-04	47683832
2020-10-03	47247274
2020-10-02	46823879
2020-10-01	46421834
2020-09-30	46037660
2020-09-29	45698673
2020-09-28	45442774
2020-09-27	45134435
2020-09-26	44755362
2020-09-25	44364566
2020-09-24	43990409
2020-09-23	43632541
2020-09-22	43341534
2020-09-21	43103912
2020-09-20	42821891
2020-09-19	42457169
2020-09-18	42095246
2020-09-17	41748928
2020-09-16	41424006
2020-09-15	41122307
2020-09-14	40903551
2020-09-13	40624075
2020-09-12	40268897
2020-09-11	39912526
2020-09-10	39575311
2020-09-09	39289176
2020-09-08	38960761
2020-09-07	38758184
2020-09-06	38488127
2020-09-05	38154556
2020-09-04	37818366
2020-09-03	37484146
2020-09-02	37176827
2020-09-01	36901215
2020-08-31	36696382
2020-08-30	36426850
2020-08-29	36086182
2020-08-28	35751747
2020-08-27	35423783
2020-08-26	35128661
2020-08-25	34883220
2020-08-24	34695406
2020-08-23	34447560
2020-08-22	33814105
2020-08-21	33814105
2020-08-20	33509273
2020-08-19	33217468
2020-08-18	32968759
2020-08-17	32784478
2020-08-16	32533818
2020-08-15	32221546
2020-08-14	31903055
2020-08-13	31598302
2020-08-12	31307764
2020-08-11	31063187
2020-08-10	30886160
2020-08-09	30640020
2020-08-08	30341344
2020-08-07	30038123
2020-08-06	29716907
2020-08-05	29433890
2020-08-04	29201862
2020-08-03	29029900
2020-08-02	28793260
2020-08-01	28478012
2020-07-31	28161461
2020-07-30	27857850
2020-07-29	27569646
2020-07-28	27327570
2020-07-27	27141966
2020-07-26	26902291
2020-07-25	26610623
2020-07-24	26300652
2020-07-23	26000908
2020-07-22	25704372
2020-07-21	25449167
2020-07-20	25251614
2020-07-19	24991740
2020-07-18	24676930
2020-07-17	24364568
2020-07-16	24053516
2020-07-15	23754645
2020-07-14	23495752
2020-07-13	23292630
2020-07-12	23031056
2020-07-11	22708416
2020-07-10	22388195
2020-07-09	22079294
2020-07-08	21790705
2020-07-07	21537771
2020-07-06	21335394
2020-07-05	21069457
2020-07-04	20752406
2020-07-03	20451110
2020-07-02	20168904
2020-07-01	19852167
2020-06-30	19562440
2020-06-29	19334442
2020-06-28	19044954
2020-06-27	18707946
2020-06-26	18402719
2020-06-25	18115830
2020-06-24	17803955
2020-06-23	17522752
2020-06-22	17289691
2020-06-21	16998453
2020-06-20	16661287
2020-06-19	16321964
2020-06-18	15991697
2020-06-17	15679724
2020-06-16	15395417
2020-06-15	15161152
2020-06-14	14880172
2020-06-13	14574117
2020-06-12	14218674
2020-06-11	13875097
2020-06-10	13545303
2020-06-09	13254678
2020-06-08	13016023
2020-06-07	12721549
2020-06-06	12388968
2020-06-05	12053663
2020-06-04	11733051
2020-06-03	11426045
2020-06-02	11151622
2020-06-01	10923108
2020-05-31	10643124
2020-05-30	10316200
2020-05-29	10000061
2020-05-28	9701280
2020-05-27	9415992
2020-05-26	9160590
2020-05-25	8945384
2020-05-24	8685305
2020-05-23	8402747
2020-05-22	8126626
2020-05-21	7840880
2020-05-20	7578029
2020-05-19	7352316
2020-05-18	7147014
2020-05-17	6916088
2020-05-16	6656340
2020-05-15	6413948
2020-05-14	6188102
2020-05-13	5982558
2020-05-12	5805404
2020-05-11	5636763
2020-05-10	5448463
2020-05-09	5221964
2020-05-08	4987468
2020-05-07	4803192
2020-05-06	4633731
2020-05-05	4460357
2020-05-04	4303243
2020-05-03	41
2020-05-02	3945518
2020-05-01	3723807
2020-04-30	3498308
2020-04-29	3303717
2020-04-28	3139258
2020-04-27	3019434
2020-04-26	2877699
2020-04-25	27215
2020-04-24	2552
2020-04-23	2401616
2020-04-22	2252539
2020-04-21	2142604
2020-04-20	253319
2020-04-19	1949813
2020-04-18	1831892
2020-04-17	1718019
2020-04-16	1613413
2020-04-15	1517992
2020-04-14	1426014
2020-04-13	1359993
2020-04-12	1278747
2020-04-11	1184442
2020-04-10	192811
2020-04-09	1
2020-04-08	910
2020-04-07	795
2020-04-06	758
2020-04-05	697
2020-04-04	639
2020-04-03	575
2020-04-02	536
2020-04-01	536669
2020-03-31	536669
2020-03-30	343523
2020-03-29	263888
2020-03-28	243377
2020-03-27	223509
2020-03-26	197251
2020-03-25	192824
2020-03-24	185918
2020-03-23	165772
2020-03-22	163529
2020-03-21	156016
2020-03-20	143519
2020-03-19	133101
2020-03-18	122854
2020-03-17	116061
2020-03-16	109939
2020-03-15	104883
2020-03-14	94852
2020-03-13	76963
2020-03-12	76963
2020-03-11	70601
2020-03-10	66282
2020-03-09	63191
2020-03-08	59960
2020-03-07	55688
2020-03-06	51366
2020-03-05	46414
2020-03-04	42776
2020-03-03	
2020-03-02	
2020-03-01	
2020-02-29	32885
2020-02-28	33050
2020-02-27	33050
2020-02-26	30984
2020-02-25	27100
2020-02-24	27350
2020-02-23	25060
2020-02-22	22580
2020-02-21	
2020-02-20	26861
2020-02-19	24682
2020-02-18	
2020-02-17	
2020-02-16	
2020-02-15	
2020-02-14	
2020-02-13	
2020-02-12	
2020-02-11	
2020-02-10	
2020-02-09	
2020-02-08	
2020-02-07	
2020-02-06	
2020-02-05	
2020-02-04	
2020-02-03	
2020-02-02	
2020-02-01	
2020-01-31	
2020-01-30	
2020-01-29	
2020-01-28	
